"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AURKA",84.6499459079576,0.451231662249097,0.203865487417095,2.21337936090138,0.0268715023632471,0.309587298096172
"AV1S4A1N1T",6.66838990981357,1.24147356977324,0.481929734332152,2.57604684113058,0.00999371068723038,NA
"AX746478",43.2268697478296,0.327778574766556,0.166982818410747,1.96294791216352,0.0496522267485267,0.381757654290645
"AX746755",58.4179351789537,0.534500851223118,0.223147287931513,2.39528275775937,0.0166075524292356,0.257891786504222
"AX747104",29.2642856670991,0.629613995636077,0.258873188694037,2.43213288642347,0.0150101991586785,0.246303883713696
"AX747368",49.8072656895669,0.337801390869336,0.153329006659161,2.20311471540571,0.0275866642754715,0.310941115904958
"AX747383",8.23236901576684,1.48831791516222,0.653835005453023,2.27628974091256,0.0228286737395003,0.292083625629174
"AX747405",15.6348390069509,0.490680499845777,0.23908637843602,2.05231474522119,0.0401390839132273,0.348195306313358
"AX747844",39.6058233697622,0.486183812565451,0.221810015495468,2.19189296515506,0.0283872361653875,0.312948654335281
"B3GALT2",30.861339302422,0.763180632912008,0.37642254697099,2.02745727920178,0.042615669192311,0.358553157025655
"B3GNT3",53.3571722383622,0.88284332212371,0.387262135815722,2.2797047283337,0.0226252066903526,0.291244866864689
"B3GNT9",96.1752016031332,0.394868901176754,0.159606189398963,2.47401997794528,0.0133602225562459,0.232696971569696
"B4GALNT1",11.7034704281591,0.8683508349821,0.403165077785262,2.15383445350049,0.0312531567384276,0.324298898686485
"BACE2",272.697643297911,0.439418913910536,0.211636059283216,2.07629510490221,0.0378666657721755,0.342474227717891
"BC032716",39.4744985388518,0.739717202718407,0.25451345175924,2.90639727529275,0.00365616925099603,0.131109905449469
"BC033949",10.7316821290527,1.37326234045938,0.490805073659376,2.79797910445488,0.00514234392682757,0.153519813556047
"BC040914",5.76006310158232,1.46322599232494,0.512729090787564,2.85379944031923,0.00431997944140322,NA
"BCAT1",53.2625649252379,0.891515461629704,0.319368273721065,2.79149663566254,0.00524649030523278,0.155230531906075
"BCKDK",1575.47916158844,0.299760949520231,0.110476979454117,2.71333404480637,0.00666099228316533,0.170931662806595
"BCL11B",45.2364422471279,0.697158515598301,0.235017885866107,2.96640620788956,0.00301302246060377,0.121180756738788
"BCL2",208.362365493654,0.514455621700985,0.159216039198975,3.23117962417128,0.00123280440105669,0.0820334783980253
"BEND3",40.6594542721575,0.514275778451573,0.210043788098813,2.4484217462772,0.0143483594182817,0.241849407122594
"BHLHE22",17.2200050763026,0.850428909641278,0.286966940473566,2.96350829903215,0.00304153860190204,0.121180756738788
"BIN2",413.50751872292,0.317520588549036,0.143487572633291,2.21287866762175,0.0269060117845668,0.309587298096172
"BIRC3",820.019496650766,0.356949364175749,0.179759969131913,1.98569996367662,0.047066649054104,0.372395008523157
"BIRC5",34.9622661955182,0.515184819813286,0.221847266867842,2.3222500195154,0.0202194770694519,0.273842493493618
"BLM",30.6764670641342,0.450586705003156,0.224686213204802,2.00540433067179,0.0449198391149398,0.365509441724562
"BLOC1S3",192.160878527459,0.26029972368612,0.11473492111337,2.26870530053285,0.0232862530594411,0.29520269850182
"BTLA",34.0691758841785,0.49048825387326,0.231407556569077,2.11958615848763,0.0340409607794262,0.332752652197132
"BUB1",22.5873864748711,0.922501845333137,0.274987448937234,3.35470527436217,0.000794495820931991,0.0685625065469904
"BUB1B",21.4124170508297,0.745008979476864,0.331761816030879,2.2456140022079,0.0247287428204246,0.301494142598687
"C10orf11",329.660860599058,0.343554303838496,0.117793921244655,2.91657073818728,0.00353902462846524,0.129123325666355
"C11orf80",88.1818900648497,0.665745743208515,0.183586115106494,3.62634038430592,0.000287466372785697,0.0486023503131247
"C11orf82",35.0968523060644,0.457712795017539,0.222575308477971,2.05644012423256,0.039740112094369,0.348195306313358
"C11orf92",39.2148851683627,0.621822281215338,0.263357078405069,2.36113752848866,0.0182189726831196,0.264081005801478
"C12orf5",209.117958740944,0.936297880569925,0.301515669881107,3.10530421499859,0.00190083413438986,0.0993530623744656
"C14orf182",59.8106712738496,0.556940399442437,0.185513677453682,3.00215276354214,0.00268077611887741,0.114774624066356
"C15orf48",18.3754925433948,1.06669751226806,0.42661847768784,2.500354691736,0.0124069018764445,0.223744450026754
"C19orf80",546.867832582039,0.489435862961793,0.195377879153893,2.50507306702966,0.0122426099391392,0.223130518237759
"C1orf186",69.0574259069868,0.77689232648632,0.274458890089212,2.83063276337594,0.004645602654231,0.148090745225223
"C1orf198",339.337514469728,0.618754597754339,0.180002977678307,3.43746867821347,0.000587178625785812,0.0616890035455569
"C1orf216",199.056376035554,0.385952554628517,0.120650218096901,3.19893789432304,0.00137934879798882,0.0862431329580257
