"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AK094577",106.227733799428,-0.812390403134183,0.20350310896792,-3.99202944492729,6.55102360267499e-05,0.0267014640926307
"AK095057",427.836508578827,-0.389785127281385,0.116477811798534,-3.34643243432129,0.00081858626208455,0.0688485064795883
"AK095081",78.3517761531943,-0.82519334399436,0.214692054303079,-3.84361380617021,0.000121235738700637,0.033673327911394
"AK095179",255.337524053547,-0.368043105382035,0.172497967363571,-2.13360836076588,0.0328748530188173,0.329710148471657
"AK095335",66.7567132325293,-0.347569052071214,0.159060452620541,-2.18513808017625,0.0288787238970553,0.315004329328709
"AK095366",55.7020839082584,-0.396831777219181,0.201958589607714,-1.96491656032057,0.0494238956947867,0.381103726303346
"AK096230",49.997823519879,-0.452976339432756,0.223186404550333,-2.02958751159326,0.0423984853838209,0.35768864782308
"AK096335",26.8910768902385,-0.748786238632841,0.252554098518983,-2.96485482921814,0.00302825793457708,0.121180756738788
"AK096592",43.0205409351817,-0.489213711333162,0.230986732863974,-2.11792991427458,0.0341810037115342,0.332752652197132
"AK097351",63.7731989135625,-0.531906864997288,0.197318170717407,-2.69568110764147,0.0070244879870589,0.176079790404809
"AK097722",18.6893931092769,-0.59665528195855,0.275785852292991,-2.16347313322176,0.0305048079721753,0.320503591180072
"AK123292",16.6382745281586,-0.578252074137367,0.237621698105786,-2.43349861880011,0.0149536924770577,0.246303883713696
"AK123332",41.9591696262094,-0.630948544682213,0.287205107372023,-2.19685697951371,0.0280306621468733,0.312543769254067
"AK124197",24.7913032911205,-0.504563571483766,0.256240274569826,-1.96910330482132,0.0489412294319659,0.380172166178266
"AK125212",20.6815950258495,-0.747700410083144,0.326014563531499,-2.29345708358487,0.0218217034419884,0.285370011310423
"AK125301",325.097923133469,-0.484212091310765,0.234917217588685,-2.06120307519804,0.0392836702830716,0.347370673597911
"AK125699",165.419438223698,-0.292708502338583,0.130503907435041,-2.24290987213759,0.0249026270264157,0.301727037673074
"AK126225",305.743741906752,-0.556038682294029,0.258385558990939,-2.15197275136234,0.0313995005442578,0.324639397052111
