"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSNK1G2",411.831761744575,-0.164052945374532,0.111820014042796,-1.46711612209015,0.142344469122444,0.551742461920633
"CSNK1G3",641.730748227911,0.00580654624984682,0.100250682301048,0.0579202666412787,0.953812139775454,0.991208914932304
"CSNK2A1",1225.43075780365,-0.0111555877418174,0.0586203049232696,-0.190302451623536,0.849072132639535,0.962857255533103
"CSNK2A2",766.705736384813,0.0447898106971375,0.061867116604378,0.723967968049249,0.46908540057788,0.813627906601368
"CSNK2B",940.359861534185,0.0854453625101403,0.104281149822039,0.819374955645937,0.412572519210839,0.779884655068186
"CSPG4",66.8531957479932,-0.16197536971906,0.36423964712574,-0.444694505381905,0.656540540646286,0.898580886995565
"CSPP1",467.908757202333,-0.145801912885268,0.0936881549146224,-1.55624703056792,0.119649361787915,0.519924016644103
"CSRNP1",395.907260265222,-0.211151787761162,0.202246197834214,-1.04403341087405,0.296469931972677,0.703251296042274
"CSRNP2",303.400912166602,0.156591807953215,0.101263840235558,1.54637437795125,0.122014178412891,0.524151652093129
"CSRNP3",152.45768169365,-0.681839349247923,0.252121404568744,-2.70440881611863,0.00684260467487648,0.173621924744301
"CSRP1",3103.04671991672,-0.0252957264311593,0.0887323404223434,-0.285078994995039,0.775583622197515,0.939651408021781
"CSRP2",497.190920984571,0.0029355073389152,0.175318284752854,0.0167438743942389,0.986640945353879,0.997693519118764
"CSRP2BP",594.547349330867,0.0903369782165303,0.0647055156027025,1.39612484925099,0.162676902049774,0.576061891443196
"CST3",5939.16055797753,0.0107050993888462,0.149868733860009,0.0714298380531175,0.943055662921746,0.989105577664164
"CST7",92.5473761160274,0.240507629073216,0.269853150127186,0.891253739153541,0.372793060438312,0.758169659801446
"CSTA",304.876735341131,0.151812291898228,0.305437554472405,0.497032174581346,0.619166362493181,0.882944231428162
"CSTB",1456.2320788656,0.369431968945299,0.1222454963001,3.02204972883731,0.00251069298388282,0.110052042460197
"CSTF1",591.049202661902,0.0409594539286394,0.0753002235827026,0.54394863627003,0.586476818906639,0.868316898620686
"CSTF2",204.391864089119,0.0549197563080978,0.0892272578437067,0.615504248761033,0.538221764284815,0.847377082139405
"CSTF2T",834.754830230404,-0.037083404293817,0.0633386448784546,-0.585478334198326,0.558226130492681,0.85561968141843
"CSTF3",636.793315606494,0.00323406441059116,0.0859462428612788,0.0376289213224956,0.969983548365226,0.99389903491308
"CTAG2",6.0046731704583,5.97732292392963,2.2176341307639,2.69536026750754,0.0070312561910313,NA
